Argentina;;;Bolivia;;;Brazil;;;Canada;;;Chile;;;Colombia;;;Dominican Republic;;;Guatemala;;;Mexico;;;Panama;;;Peru;;;El Salvador;;;US;;
Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper
0,940296086;0,854856533;1,029746719;1,760202561;1,502616035;2,037866887;2,63424656;2,560253471;2,709279016;5,39175871;3,195497924;8,153132003;1,235224293;1,17899855;1,292741317;1,846505489;1,737460128;1,958822702;1,043752546;0,960314281;1,13061705;1,802586562;1,481506928;2,154688115;1,840269764;1,723819703;1,960471993;1,802586562;1,481506928;2,154688115;2,013648146;1,958688904;2,069357224;1,084131218;0,821110397;1,383135711;10,31467981;5,895730737;15,94921476
0,885616005;0,803124708;0,972082046;1,647107058;1,404664575;1,908566333;2,798893811;2,726699725;2,872018054;4,38498118;2,678460424;6,505306726;1,324553569;1,26756841;1,382774091;1,262381999;1,176356203;1,351400437;1,089798689;1,005957613;1,176947736;1,566066617;1,272821669;1,889255473;1,942305426;1,827230942;2,060844196;1,566066617;1,272821669;1,889255473;1,70297127;1,657364518;1,749188411;1,364910562;1,071748362;1,692978623;23,37523612;16,62207795;31,26166254
1,081046199;0,989684012;1,176384203;1,566883538;1,338247256;1,813285546;2,338684126;2,276798218;2,401388305;2,932747905;1,738132276;4,434746079;1,328010353;1,271984062;1,385227167;1,083094951;1,007254258;1,161649292;1,476689203;1,379742857;1,576880408;1,549325621;1,264609787;1,862515637;2,161684986;2,04468931;2,281889644;1,549325621;1,264609787;1,862515637;1,502671109;1,463228383;1,542631096;1,565084085;1,253568193;1,910649261;25,61803768;19,45285006;32,61887821
1,044393174;0,954313992;1,13847663;1,460471314;1,247972402;1,689430899;1,956947036;1,904230593;2,010373225;3,271143553;2,136819573;4,643128054;1,275551339;1,221548229;1,330706117;0,82748329;0,764120646;0,893333755;1,485494441;1,388739316;1,585461608;1,52189807;1,248442485;1,822029719;2,332129025;2,215357806;2,451857107;1,52189807;1,248442485;1,822029719;1,410181045;1,374224599;1,446595372;1,687938196;1,367235358;2,041922988;22,7698749;18,28607927;27,73791909
1,030051005;0,940225851;1,123915374;1,274521463;1,083536993;1,480779554;1,883263972;1,835138303;1,932003869;2,84922479;1,893289181;3,99741989;1,163869589;1,113163724;1,215688911;0,647074966;0,592799535;0,703693779;1,557670632;1,459259287;1,659247724;1,683185136;1,404241039;1,987025105;2,20727394;2,098812946;2,318428915;1,683185136;1,404241039;1,987025105;1,276171009;1,243407546;1,309354601;1,992121179;1,647538492;2,368937719;20,46593954;17,33183647;23,85666675
1,177476169;1,081113936;1,277893326;1,093893451;0,923094069;1,278976549;1,956192606;1,910212131;2,002712312;2,987347942;2,080797299;4,05524734;1,104482339;1,055949912;1,154089869;0,795042515;0,735580574;0,856782656;1,639149197;1,539702435;1,741663973;1,747869891;1,472216236;2,046828612;2,17404679;2,07197692;2,278536247;1,747869891;1,472216236;2,046828612;1,276684591;1,244902082;1,308862135;1,976565682;1,641418336;2,342385216;14,34599921;12,39334332;16,43940935
1,275968217;1,175654312;1,380330335;1,506604471;1,310164207;1,71656604;1,933355414;1,890073859;1,977120127;3,277321214;2,390500582;4,301880742;0,973621391;0,928824363;1,019458611;0,926180853;0,861827145;0,992818812;1,6305373;1,533709202;1,730287372;2,07803117;1,785535591;2,392387033;2,023055956;1,930180528;2,118083059;2,07803117;1,785535591;2,392387033;1,242179916;1,211543471;1,273193573;1,917511555;1,598542988;2,265065093;12,20268368;10,8269528;13,6595015
1,120103045;1,026587087;1,21763705;1,975449447;1,753865411;2,210023657;1,972007644;1,930327254;2,014127046;2,686163047;1,943989516;3,546472278;1,005698229;0,960758044;1,051651187;1,011188407;0,943030371;1,08169079;1,360862604;1,275156257;1,449317025;1,995392348;1,718205612;2,29300293;1,893608305;1,808902276;1,980225328;1,995392348;1,718205612;2,29300293;1,203943549;1,17433024;1,233920476;1,713265057;1,425005234;2,027682629;9,857432959;8,889879745;10,87424593
1,14826657;1,054294791;1,246192683;2,01090623;1,790834197;2,24354713;1,834750455;1,796335397;1,873566291;3,197757482;2,44022584;4,056126266;1,071946361;1,025929642;1,118958434;1,119109009;1,046135819;1,194507553;1,348604757;1,266100201;1,433676634;1,883728983;1,624733561;2,161597415;1,651845729;1,577103069;1,728294484;1,883728983;1,624733561;2,161597415;1,288724596;1,258559296;1,319242163;1,830790994;1,545871794;2,139452427;6,9249794;6,275426948;7,60606012
1,147128062;1,054235836;1,243886362;2,234967206;2,007872551;2,474052934;1,631556561;1,596958517;1,666520231;2,900669;2,233868583;3,653227961;1,150183282;1,102682198;1,198672004;1,206702198;1,129853706;1,286043257;1,26526317;1,187933719;1,344996456;1,581327829;1,355089633;1,82477452;1,590051344;1,520411995;1,661228178;1,581327829;1,355089633;1,82477452;1,403796906;1,372754921;1,435181129;2,042931645;1,754605277;2,352869074;5,982989241;5,48804047;6,499001387
